,Province,TotalCases,WeeklyCases,TotalDeaths,WeeklyDeaths,TotalHospitalized,WeeklyHospitalized,TotalICU,WeeklyICU,Year,Month,Day
205,CA,54,38,0,0,0,0,0,0,2020,03,06
257,CA,198,144,2,2,0,0,0,0,2020,03,13
294,CA,1087,889,13,11,0,0,0,0,2020,03,20
321,CA,4757,3670,55,42,0,0,0,0,2020,03,27
335,CA,12549,7792,187,132,0,0,0,0,2020,04,03
168,CA,22148,9599,569,382,1862,1862,777,777,2020,04,10
196,CA,31927,9779,1310,741,2120,258,533,-244,2020,04,17
219,CA,43888,11961,2302,992,2574,454,540,7,2020,04,24
233,CA,55061,11165,3391,1089,2924,350,496,-44,2020,05,01
109,CA,66434,11373,4569,1178,3041,117,465,-31,2020,05,08
123,CA,74613,8179,5562,993,2946,-95,401,-64,2020,05,15
137,CA,82480,7867,6250,628,2552,-394,346,-55,2020,05,22
240,CA,89418,6938,6979,729,2195,-357,319,-27,2020,05,29
265,CA,94335,4917,7703,724,1853,-342,264,-55,2020,06,05
287,CA,97943,3608,8049,346,1441,-412,233,-31,2020,06,12
315,CA,100627,2684,8346,297,963,-478,159,-74,2020,06,19
7,CA,102794,2167,8508,162,810,-153,126,-33,2020,06,26
21,CA,105090,2296,8663,155,615,-195,86,-40,2020,07,03
35,CA,107125,2035,8759,96,505,-110,73,-13,2020,07,10
49,CA,109669,2544,8839,80,466,-39,62,-11,2020,07,17
363,CA,113206,3537,8884,45,472,6,70,8,2020,07,24
377,CA,116132,2926,8935,51,379,-93,74,4,2020,07,31
391,CA,118985,2853,8970,35,319,-60,76,2,2020,08,07
414,CA,121652,2667,9020,50,271,-48,67,-9,2020,08,14
437,CA,124372,2720,9064,44,226,-47,55,-13,2020,08,21
451,CA,127358,2986,9108,44,253,27,52,-3,2020,08,28
465,CA,131124,3766,9141,33,260,7,54,2,2020,09,04
508,CA,135626,4502,9163,22,276,10,50,-3,2020,09,11
607,CA,141911,6285,9205,42,313,37,80,30,2020,09,18
657,CA,150456,8545,9255,50,425,112,98,18,2020,09,25
478,CA,162659,12203,9409,154,621,196,126,28,2020,10,02
534,CA,178117,15458,9585,176,849,228,153,27,2020,10,09
548,CA,194106,15989,9722,137,995,146,199,47,2020,10,16
562,CA,211735,17629,9888,166,1079,84,228,29,2020,10,23
759,CA,231999,20264,10110,222,1177,98,231,3,2020,10,30
773,CA,255807,23808,10436,326,1391,110,248,17,2020,11,06
787,CA,287318,31511,10828,392,1727,336,345,97,2020,11,13
401,CA,320414,33096,11334,506,2048,321,415,70,2020,11,20
471,CA,359055,38641,11894,560,2291,243,457,42,2020,11,27
527,CA,402572,43517,12496,602,2793,502,559,102,2020,12,04
581,CA,448741,46269,13251,755,3139,346,638,79,2020,12,11
493,CA,493933,45092,14015,764,3437,298,694,56,2020,12,18
594,CA,534144,40214,14719,704,3602,165,704,10,2020,12,25
639,CA,582704,48560,15605,886,4067,465,794,90,2021,01,01
653,CA,644349,61645,16703,1098,4466,399,843,49,2021,01,08
626,CA,695707,51358,17729,1026,4621,155,862,19,2021,01,15
677,CA,737407,41700,18828,1099,4260,-361,841,-21,2021,01,22
691,CA,770469,33062,19794,966,3730,-530,902,61,2021,01,29
705,CA,797759,27290,20609,815,3158,-572,707,-195,2021,02,05
719,CA,820312,22553,21162,553,2488,-670,596,-111,2021,02,12
733,CA,840590,20278,21576,414,2242,-246,545,-51,2021,02,19
747,CA,861408,20818,21915,339,2039,-203,549,4,2021,02,26
922,CA,881766,20358,22192,277,1963,-76,533,-16,2021,03,05
1033,CA,903238,21472,22404,212,1926,-37,530,-3,2021,03,12
1112,CA,927065,23827,22617,213,2024,98,578,48,2021,03,19
819,CA,956656,29591,22826,209,2189,165,650,72,2021,03,26
925,CA,989508,32852,23008,182,2476,287,746,96,2021,04,02
1025,CA,1045282,55774,23251,243,3008,532,908,162,2021,04,09
1072,CA,1106066,60784,23541,290,3741,733,1161,253,2021,04,16
1117,CA,1164587,58521,23883,342,4282,541,1353,192,2021,04,23
1162,CA,1219427,54840,24219,350,4241,-41,1441,88,2021,04,30
1179,CA,1273175,53748,24529,310,3971,-270,1397,-44,2021,05,07
833,CA,1318405,45230,24869,340,3639,-332,1326,-71,2021,05,14
941,CA,1352121,33716,25162,293,3122,-517,1210,-116,2021,05,21
1042,CA,1374275,22154,25440,278,2633,-489,1058,-152,2021,05,28
1122,CA,1389508,15233,25679,239,1932,-701,664,-394,2021,06,04
814,CA,1399716,10208,25886,207,1506,-426,693,29,2021,06,11
860,CA,1407269,7553,26023,137,1156,-350,549,-144,2021,06,18
874,CA,1412326,5057,26197,174,891,-265,452,-97,2021,06,25
888,CA,1416348,4022,26338,141,663,-228,378,-74,2021,07,02
889,CA,1419969,3621,26419,81,601,-62,303,-75,2021,07,09
958,CA,1422646,2677,26489,70,506,-95,242,-61,2021,07,16
1056,CA,1425711,3065,26539,50,428,-78,218,-24,2021,07,23
852,CA,1430483,4772,26592,53,388,-40,191,-27,2021,07,30
960,CA,1437702,7219,26654,62,429,41,191,0,2021,08,06
974,CA,1449850,12148,26698,44,526,97,226,35,2021,08,13
988,CA,1465897,16047,26789,91,723,197,283,57,2021,08,20
1039,CA,1486436,20539,26890,101,1046,323,379,96,2021,08,27
1119,CA,1511212,24776,27006,116,1364,318,481,102,2021,09,03
1163,CA,1538123,26911,27170,164,1769,405,604,123,2021,09,10
1249,CA,1569210,31087,27370,200,2100,331,707,103,2021,09,17
1283,CA,1598843,29633,27620,250,2343,243,763,56,2021,09,24
1297,CA,1629145,30302,27921,301,2414,71,749,-14,2021,10,01
1311,CA,1655380,26235,28186,265,2512,98,741,-8,2021,10,08
1341,CA,1676873,21493,28468,282,2408,-104,732,-9,2021,10,15
1383,CA,1695940,19067,28729,261,2211,-197,666,-66,2021,10,22
1397,CA,1712136,16196,28952,223,1999,-212,625,-41,2021,10,29
1245,CA,1727707,15571,29132,180,1875,-124,534,-91,2021,11,05
1327,CA,1745424,17717,29310,178,1670,-205,486,-48,2021,11,12
1369,CA,1762438,17014,29480,170,1631,-39,457,-29,2021,11,19
